x," ""y"""
0.0163,0.2607
0.016,0.2612
0.1392,0.2398
0.1392,0.2398
0.1392,0.2398
0.1392,0.2398
0.1422,0.2339
0.1409,0.2387
0.1408,0.2378
0.1405,0.2379
0.1404,0.2382
0.1412,0.2378
0.141,0.2383
0.1413,0.2385
0.1401,0.2385
0.1407,0.2389
0.1408,0.2388
0.1404,0.238
0.1404,0.238
0.1408,0.2387
0.1416,0.2379
0.1416,0.2379
0.1414,0.2385
0.1409,0.2375
0.1409,0.2375
0.1414,0.2387
0.1414,0.2387
0.1413,0.2393
0.1419,0.2397
0.1419,0.2397
0.1426,0.2438
0.1433,0.2457
0.1412,0.2554
0.1412,0.2554
0.1339,0.2755
0.1335,0.3051
0.1335,0.3051
0.1323,0.3272
0.1279,0.3383
0.1279,0.3383
0.1265,0.3485
0.124,0.3516
0.1251,0.3525
0.1251,0.3525
0.124,0.352
0.1256,0.339
0.1343,0.3103
0.1396,0.2869
0.1445,0.2708
0.1445,0.2708
0.1497,0.2645
0.1521,0.2623
0.1538,0.2637
0.1538,0.2637
0.1531,0.2599
0.1523,0.2595
0.1524,0.2619
0.1491,0.2609
0.1453,0.2641
0.1366,0.2875
0.1283,0.3196
0.1221,0.3403
0.1197,0.3483
0.1204,0.3497
0.1195,0.3527
0.1197,0.3518
0.1206,0.3505
0.1206,0.3505
0.1245,0.3238
0.1245,0.3238
0.1306,0.3025
0.1306,0.3025
0.1314,0.2898
0.1314,0.2898
0.1343,0.2816
0.1343,0.2816
0.1385,0.274
0.1385,0.274
0.1419,0.2674
0.1419,0.2674
0.1467,0.2665
0.1467,0.2665
0.1475,0.2666
0.1475,0.2666
0.147,0.2669
0.147,0.2669
0.1491,0.2657
0.1491,0.2657
0.1464,0.2665
0.1478,0.265
0.1478,0.265
0.1469,0.2656
0.1469,0.2656
0.1476,0.2639
0.1476,0.2639
0.1451,0.2652
0.1443,0.2655
0.1443,0.2655
0.1429,0.2644
0.1368,0.2794
0.1368,0.2794
0.1297,0.3105
0.1232,0.3362
0.1232,0.3362
0.1198,0.3537
0.1187,0.3607
0.1187,0.3607
0.1181,0.3599
0.119,0.3592
0.119,0.3592
0.1193,0.3607
0.122,0.3476
0.1308,0.3202
0.1308,0.3202
0.1298,0.3046
0.1312,0.2907
0.1312,0.2907
0.137,0.2789
0.1406,0.272
0.1423,0.2706
0.1423,0.2706
0.1431,0.2685
0.1438,0.268
0.1428,0.268
0.144,0.269
0.144,0.269
0.144,0.2681
0.1411,0.2714
0.1348,0.2848
0.1348,0.2848
0.131,0.3041
0.1325,0.324
0.1298,0.3359
0.1298,0.3359
0.1273,0.3489
0.1244,0.3553
0.1259,0.3565
0.1271,0.355
0.1271,0.355
0.1248,0.3549
0.1248,0.3549
0.1248,0.3549
0.1268,0.3332
0.131,0.3111
0.1292,0.2995
0.1305,0.2875
0.1305,0.2875
0.1305,0.2875
0.1346,0.2791
0.1346,0.2791
0.1382,0.2739
0.1382,0.2739
0.139,0.2698
0.139,0.2698
0.1407,0.2673
0.1407,0.2673
0.1429,0.2662
0.1429,0.2662
0.143,0.2649
0.143,0.2649
0.1444,0.2637
0.1454,0.2643
0.1454,0.2643
0.1461,0.2669
0.1472,0.2634
0.1491,0.2638
0.1495,0.2635
0.1482,0.2652
0.1482,0.2652
0.1497,0.2625
0.15,0.2641
0.15,0.2641
0.1509,0.2627
0.1504,0.2653
0.1504,0.2653
0.1505,0.265
0.1527,0.2653
0.1527,0.2653
0.1516,0.2643
0.1523,0.266
0.1525,0.265
0.1528,0.2653
0.1519,0.2656
0.1521,0.264
0.1521,0.264
0.153,0.2646
0.152,0.2651